Name,TIME,IO
data023,2026-02-11 22:54:08.909,X
data023,2026-02-11 22:54:50.909,X
data023,2026-02-11 22:55:29.429,X
data023,2026-02-11 22:56:10.729,X
data023,2026-02-11 22:56:50.339,X
data023,2026-02-11 22:57:30.629,X
data023,2026-02-11 22:58:10.889,X
data023,2026-02-11 22:58:51.219,X
data023,2026-02-11 22:59:31.899,X
data023,2026-02-12 00:24:12.499,X
data023,2026-02-12 00:24:50.770,X
data023,2026-02-12 00:25:28.269,X
data023,2026-02-12 00:26:06.780,X
data023,2026-02-12 00:26:44.570,X
data023,2026-02-12 00:27:21.779,X
data023,2026-02-12 00:28:11.060,X
data023,2026-02-12 00:29:16.050,X
data023,2026-02-12 00:30:26.730,X
data023,2026-02-12 00:31:30.440,X
data023,2026-02-12 00:33:45.030,X
data023,2026-02-12 00:34:22.540,X
data023,2026-02-12 00:35:34.129,X
data023,2026-02-12 00:41:01.740,X
data023,2026-02-12 00:42:04.199,X
data023,2026-02-12 00:43:04.289,X
data023,2026-02-12 00:44:02.710,X
data023,2026-02-12 00:45:04.800,X
data023,2026-02-12 00:46:03.180,X
data023,2026-02-12 00:47:04.280,X
data023,2026-02-12 00:48:03.609,X
data023,2026-02-12 00:49:03.399,X
data023,2026-02-12 00:49:59.889,X
data023,2026-02-12 00:51:02.469,X
data023,2026-02-12 00:52:04.469,X
data023,2026-02-12 00:53:05.099,X
data023,2026-02-12 00:54:06.890,X
data023,2026-02-12 00:55:06.160,X
data023,2026-02-12 00:56:04.370,X
data023,2026-02-12 00:57:06.890,X
data023,2026-02-12 00:58:05.480,X
data023,2026-02-12 00:59:02.640,X
data023,2026-02-12 01:00:04.469,X
data023,2026-02-12 01:01:05.660,X
data023,2026-02-12 01:02:04.549,X
data023,2026-02-12 01:03:06.460,X
data023,2026-02-12 01:04:19.859,X
data023,2026-02-12 01:05:17.970,X
data023,2026-02-12 01:06:18.719,X
data023,2026-02-12 01:07:18.929,X
data023,2026-02-12 01:08:17.850,X
data023,2026-02-12 01:09:18.540,X
data023,2026-02-12 01:10:19.729,X
data023,2026-02-12 01:11:20.509,X
data023,2026-02-12 01:12:22.529,X
data023,2026-02-12 01:13:24.539,X
data023,2026-02-12 01:14:32.040,X
data023,2026-02-12 01:15:35.211,X
data023,2026-02-12 01:17:21.219,X
data023,2026-02-12 01:18:20.690,X
data023,2026-02-12 01:19:23.729,X
data023,2026-02-12 01:20:25.319,X
data023,2026-02-12 01:24:20.290,X
data023,2026-02-12 01:24:58.169,X
data023,2026-02-12 01:25:35.379,X
data023,2026-02-12 01:26:12.590,X
data023,2026-02-12 01:26:50.089,X
data023,2026-02-12 01:27:27.100,X
data023,2026-02-12 01:28:04.580,X
data023,2026-02-12 01:28:42.359,X
data023,2026-02-12 01:29:21.900,X
data023,2026-02-12 01:40:11.860,X
data023,2026-02-12 01:42:07.939,X
data023,2026-02-12 01:43:09.039,X
data023,2026-02-12 01:44:11.409,X
data023,2026-02-12 01:45:10.840,X
data023,2026-02-12 01:46:12.920,X
data023,2026-02-12 01:47:12.710,X
data023,2026-02-12 01:48:15.299,X
data023,2026-02-12 01:49:14.249,X
data023,2026-02-12 01:50:16.430,X
data023,2026-02-12 01:51:16.300,X
data023,2026-02-12 01:52:13.899,X
data023,2026-02-12 01:53:15.210,X
data023,2026-02-12 01:54:14.909,X
data023,2026-02-12 01:55:15.599,X
data023,2026-02-12 01:56:19.199,X
data023,2026-02-12 01:57:21.210,X
data023,2026-02-12 01:58:24.189,X
data023,2026-02-12 01:59:25.890,X
data023,2026-02-12 02:00:27.919,X
data023,2026-02-12 02:01:30.599,X
data023,2026-02-12 02:02:34.579,X
data023,2026-02-12 02:03:35.870,X
data023,2026-02-12 02:04:38.399,X
data023,2026-02-12 02:05:52.549,X
data023,2026-02-12 02:07:00.450,X
data023,2026-02-12 02:08:00.289,X
data023,2026-02-12 02:08:59.970,X
data023,2026-02-12 02:10:03.159,X
data023,2026-02-12 02:11:03.770,X
data023,2026-02-12 02:12:04.629,X
data023,2026-02-12 02:13:08.969,X
data023,2026-02-12 02:14:11.940,X
data023,2026-02-12 02:15:12.450,X
data023,2026-02-12 02:16:15.459,X
data023,2026-02-12 02:17:16.549,X
data023,2026-02-12 02:18:22.019,X
data023,2026-02-12 02:19:35.329,X
data023,2026-02-12 02:20:35.009,X
data023,2026-02-12 02:21:44.520,X
data023,2026-02-12 02:23:06.319,X
data023,2026-02-12 02:24:33.800,X
data023,2026-02-12 02:25:33.690,X
data023,2026-02-12 02:26:37.700,X
data023,2026-02-12 02:27:41.329,X
data023,2026-02-12 02:28:44.839,X
data023,2026-02-12 02:29:47.919,X
data023,2026-02-12 02:30:55.389,X
data023,2026-02-12 02:31:59.900,X
data023,2026-02-12 02:33:08.480,X
data023,2026-02-12 02:34:13.990,X
data023,2026-02-12 02:35:26.990,X
data023,2026-02-12 02:36:32.199,X
data023,2026-02-12 02:37:45.760,X
data023,2026-02-12 02:38:52.289,X
data023,2026-02-12 02:40:04.150,X
data023,2026-02-12 02:41:04.049,X
data023,2026-02-12 02:42:09.149,X
data023,2026-02-12 02:43:14.340,X
data023,2026-02-12 02:44:19.670,X
data023,2026-02-12 02:45:31.069,X
data023,2026-02-12 02:46:34.939,X
data023,2026-02-12 02:47:47.130,X
data023,2026-02-12 02:49:21.420,X
data023,2026-02-12 02:50:36.519,X
data023,2026-02-12 02:51:57.619,X
