CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2D0202,2D,工作機械,02,自動盤,02,多軸自動盤,A
2D0250,2D,工作機械,02,自動盤,50,ソフト(自動盤用),A
2D0290,2D,工作機械,02,自動盤,90,専用補修部品,A
2D0291,2D,工作機械,02,自動盤,91,移設・改造,A
2D0292,2D,工作機械,02,自動盤,92,修理・オ－バ－ホ－ル,A
2D0293,2D,工作機械,02,自動盤,93,二次側配線・配管,A
2D0299,2D,工作機械,02,自動盤,99,その他,A
2D0301,2D,工作機械,03,切断機,01,本体,A
2D0350,2D,工作機械,03,切断機,50,ソフト(切断機用),A
2D0390,2D,工作機械,03,切断機,90,専用補修部品,A
2D0391,2D,工作機械,03,切断機,91,移設・改造,A
2D0392,2D,工作機械,03,切断機,92,修理・オ－バ－ホ－ル,A
2D0393,2D,工作機械,03,切断機,93,二次側配線・配管,A
2D0399,2D,工作機械,03,切断機,99,その他,A
2D0401,2D,工作機械,04,穴加工機,01,本体（ボ－ル盤）,A
2D0402,2D,工作機械,04,穴加工機,02,ガンドリルマシン,A
2D0403,2D,工作機械,04,穴加工機,03,タッピング盤,A
2D0450,2D,工作機械,04,穴加工機,50,ソフト(穴加工機用),A
2D0490,2D,工作機械,04,穴加工機,90,専用補修部品,A
2D0491,2D,工作機械,04,穴加工機,91,移設・改造,A
2D0492,2D,工作機械,04,穴加工機,92,修理・オ－バ－ホ－ル,A
2D0493,2D,工作機械,04,穴加工機,93,二次側配線・配管,A
2D0499,2D,工作機械,04,穴加工機,99,その他,A
2D0501,2D,工作機械,05,フライス盤,01,本体,A
2D0550,2D,工作機械,05,フライス盤,50,ソフト(フライス盤用),A
2D0590,2D,工作機械,05,フライス盤,90,専用補修部品,A
2D0591,2D,工作機械,05,フライス盤,91,移設・改造,A
2D0592,2D,工作機械,05,フライス盤,92,修理・オ－バ－ホ－ル,A
2D0593,2D,工作機械,05,フライス盤,93,二次側配線・配管,A
2D0599,2D,工作機械,05,フライス盤,99,その他,A
2D0601,2D,工作機械,06,マシニングセンタ,01,本体（マシニングセンタ）,A
2D0602,2D,工作機械,06,マシニングセンタ,02,治具ボ－ラ－,A
2D0650,2D,工作機械,06,マシニングセンタ,50,ソフト(マシニングセンタ用),A
2D0690,2D,工作機械,06,マシニングセンタ,90,専用補修部品,A
2D0691,2D,工作機械,06,マシニングセンタ,91,移設・改造,A
2D0692,2D,工作機械,06,マシニングセンタ,92,修理・オ－バ－ホ－ル,A
2D0693,2D,工作機械,06,マシニングセンタ,93,二次側配線・配管,A
2D0699,2D,工作機械,06,マシニングセンタ,99,その他,A
2D0701,2D,工作機械,07,ショットブラスト・研磨機,01,本体,A
2D0750,2D,工作機械,07,ショットブラスト・研磨機,50,ソフト(ショットブラスト・研磨機用),A
2D0790,2D,工作機械,07,ショットブラスト・研磨機,90,専用補修部品,A
2D0791,2D,工作機械,07,ショットブラスト・研磨機,91,移設・改造,A
