SUPPLIERCODE,SUPPLIERNO,SUPPLIERNAME,SHORTNAME,SITENAME,PAGES
10001B383,1000298,ダイダン株式会社 1000298,ダイダン,名古屋支社,A
10001B384,1001748,中庸スプリング株式会社 1001748,中庸スプリング,碧南工場,A
10001B385,1001654,川北電気工業株式会社 1001654,川北電気工業,電設中部本店,A
10001B386,1001261,株式会社塚本製作所 1001261,塚本製作所,本社,A
10001B387,1001756,塚本商事機械株式会社 1001756,塚本商事機械,名古屋支店,A
10001B388,1000372,トランス・コスモス株式会社 1000372,トランスコスモス,中部支社,A
10001B389,1001755,津田工業株式会社 1001755,津田工業,本社・刈谷工場,A
10001B390,1001101,株式会社近藤組 1001101,近藤組,本社,A
10001B391,1001260,株式会社槌屋 1001260,槌屋,本社,A
10001B392,1001132,株式会社佐野塗工店 1001132,佐野塗工店,本社,A
10001B393,1000757,株式会社キョウドー 1000757,キョウドー,本社,A
10001B394,1001620,神鋼商事株式会社 1001620,神鋼商事,名古屋支社,A
10001B395,1000867,株式会社テイクロ 1000867,テイクロ,本社工場,A
10001B396,1001711,第一化成株式会社 1001711,第一化成,名古屋営業所,A
10001B397,1001709,大和化成工業株式会社 1001709,大和化成工業,本社,A
10001B398,1000128,アクセリス・テクノロジー株式会社 1000128,アクセリス・テクノロジー,福岡オフィス,A
10001B399,1001104,株式会社九州テン 1001104,九州テン,福岡本社,A
10001B400,1000577,シモダL&C株式会社 1000577,シモダＬ＆Ｃ,名古屋支社,A
10001B401,1001278,株式会社東海理化電機製作所 1001278,東海理化,本社,A
10001B402,1001784,東海エレクトロニクス株式会社 1001784,東海エレクトロニクス,刈谷支店,A
10001B403,1001279,株式会社東海理機 1001279,東海理機,大府本社,A
10001B404,1001279,株式会社東海理機 1001279,東海理機,各務原工場,A
10001B405,1001665,多摩川精機販売株式会社 1001665,多摩川精機販売,本社,A
10001B406,1001793,東海挾範株式会社 1001793,東海挾範,本社,A
10001B407,1001791,東海紙器株式会社 1001791,東海紙器,包装技術センター,A
10001B408,1000854,株式会社タカラ 1000854,タカラ,名古屋営業所,A
10001B409,1000966,株式会社ファインシンター 1000966,ファインシンター,本社,A
10001B410,1001208,株式会社千代田製作所 1001208,千代田製作所,本社,A
10001B411,1001804,東京特殊印刷工業株式会社 1001804,東京特殊印刷工業,名古屋営業所,A
10001B412,1000465,ミネベアミツミ株式会社 1000465,ミネベアミツミ,名古屋事務所,A
10001B413,1000639,株式会社TOTOKU 1000639,ＴＯＴＯＫＵ,本社,A
10001B414,1001801,東京ペイント株式会社 1001801,東京ペイント,名古屋営業所,A
10001B415,1000340,デンソーマレーシア. 1000340,ＤＮＭＹ,DNMY(輸入),A
10001B416,1001017,株式会社メデック 1001017,メデック,本社,A
10001B417,1000039,DOWAサーモテック株式会社 1000039,ＤＯＷＡサーモテック,中西部PE課,A
10001B418,1000312,テーケー工業株式会社 1000312,テーケー工業,本社,A
10001B419,1001823,東邦瓦斯株式会社 1001823,東邦瓦斯,本社,A
10001B421,1001285,株式会社東郷製作所 1001285,東郷製作所,本社,A
10001B423,1000834,株式会社セイミツ 1000834,セイミツ,平塚工場,A
10001B424,1001757,辻村工業株式会社 1001757,辻村工業,羽角営業所,A
10001B426,1001348,株式会社豊永電機研究所 1001348,豊永電機研究所,本社,A
10001B427,1001108,株式会社恵美製作所 1001108,恵美製作所,本社,A
10001B428,1000249,サンダーソフトジャパン株式会社 1000249,サンダーソフトジャパン,本社,A
10001B429,1001298,株式会社南信精機製作所 1001298,南信精機製作所,本社,A
10001B431,1001596,常盤産業株式会社 1001596,常盤産業,本社,A
10001B432,1002017,豊田通商株式会社 1002017,豊田通商,名古屋本社(グローバル部品部),A
10001B433,1001353,株式会社豊通テック 1001353,豊通テック,名古屋事業所,A
10001B434,1001295,株式会社徳力本店 1001295,徳力本店,本社,A
